Area,Postcode,Date,Type of Product,Quantity,Unit of measurement,Description e.g. brand,Street value (estimated),Loss of tax revenue (VAT),
Croydon,SE25,31/10/2015,Clothing & Accessories,13,Each,Football scarves bearing trademark logo,,,
Hammersmith and Fulham,SW6,31/10/2015,Clothing & Accessories,11,,Scarves,,,
Hammersmith and Fulham,SW6,31/10/2015,Sports Goods,9,,Badges,,,
Hammersmith and Fulham,SW6,31/10/2015,Sports Goods,6,,Flags,,,
Croydon,SE25,31/10/2015,Clothing & Accessories,5,Each,Football scarves bearing trademark logo,,,
Croydon,SE25,31/10/2015,Clothing & Accessories,5,Each,Football scarves bearing trademark logo,,,
Hammersmith and Fulham,SW6,31/10/2015,Clothing & Accessories,4,,Scarves,,,
Hammersmith and Fulham,SW6,31/10/2015,Clothing & Accessories,2,,Hats,,,
West Yorkshire,LS11,31/10/2014,Perfume & Cosmetics,153,,Seizure of cosmetics,,,
Enfield,UB2,31/05/2013,Mobile Phone Accessories,17,,17 x Apple face plates,,,
Enfield,UB2,31/05/2013,Mobile Phone Accessories,14,,14 x Apple face plates,,,
Enfield,UB2,31/05/2013,Mobile Phone Accessories,5,,5 x Apple face plates,,,
Enfield,UB2,31/05/2013,Mobile Phone Accessories,3,,3 x Apple face plates,,,
Manchester,M13,31/03/2014,Other Goods,4,,lighters - Premier league,,,
Lewisham,SE12,31/03/2014,Tobacco,,,CH99 - Tobacco & Related - Other,,,
Lewisham,SE12,31/03/2014,Tobacco,,,CH99 - Tobacco & Related - Other,,,
Lewisham,SE6,31/03/2014,Tobacco,,,CH99 - Tobacco & Related - Other,,,
Lewisham,SE6,31/03/2014,Tobacco,,,CH99 - Tobacco & Related - Other,,,
Islington,N7,31/01/2014,Tobacco,2,,2 x 50g Golden Virginia,,,
Newham,E6,30/09/2015,DVD,30,,DVDs,,,
Wandsworth,SW8,30/09/2013,Clothing & Accessories,141,,"Bags wallets LV Michael Kors, Mulberry Gucci Celine Dior and Burberry","£1,500",£375.00,
Wandsworth,SW8,30/09/2013,Clothing & Accessories,54,,Clothes shoes and bags Lacoste Hacket Fila,£800,£200.00,
Wandsworth,SW8,30/09/2013,Clothing & Accessories,50,,"Bags wallets LV Michael Kors, Mulberry and Burberry","£2,000",£500.00,
West Yorkshire,,30/09/2013,Clothing & Accessories,1,,Various Counterfeit Ladies Clothing/Accessories/jewellery,,,
Lewisham,SE4,30/08/2013,Alcohol,,,BA06 - Alcoholic drinks,,,
Lewisham,SE4,30/08/2013,Alcohol,,,BA06 - Alcoholic drinks,,,
Manchester,M40,30/05/2014,Clothing & Accessories,488,,"Polo Ralph Lauren, Barbour, G Star",,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,124,,124 Bottles of Citrus Fresh 250ml Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,44,,44 Bottles of Volume Boost 250ml Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,36,,36 Bottles of 400ml Citrus Fresh Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,36,,36 Bottles of 400ml Cool Menthol Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,36,,36 Bottles of 400ml Volume Boost Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,36,,36 Bottles of For Men 500ml Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,36,,36 Bottles of Extra Volume Head and Shoulders,,,
Enfield,N9,30/05/2013,Perfume & Cosmetics,36,,36 Bottles of Extra Volume Head and Shoulders,,,
